time,aqi,pm2_5,pm10,so2,co,no2,o3,cityname
2017/5/11,117,89,150,31,1,47,19,成都
2017/5/12,55,28,60,11,0.7,43,27,成都
2017/5/13,83,44,116,16,0.7,44,55,成都
2017/5/14,105,68,160,16,1.1,50,59,成都
2017/5/15,114,79,179,24,1,58,47,成都
2017/5/16,108,73,167,21,1,58,34,成都
2017/5/17,99,68,149,22,1,46,53,成都
2017/5/18,71,27,92,18,0.6,38,56,成都
2017/5/19,83,46,116,23,0.8,50,50,成都
2017/5/20,89,54,127,19,1.1,64,50,成都
2017/5/21,112,85,160,29,1.4,66,66,成都
2017/5/22,162,123,216,30,1.8,83,35,成都
2017/5/23,119,90,158,23,1.4,57,57,成都
2017/5/24,127,97,187,61,1.6,71,30,成都
2017/5/25,116,88,160,28,1.3,69,57,成都
2017/5/26,201,151,258,43,1.8,79,32,成都
2017/5/27,176,133,203,23,1.4,72,36,成都
2017/5/28,189,142,217,18,1.3,58,23,成都
2017/5/29,131,100,156,19,1.4,54,43,成都
2017/5/30,118,89,150,16,1.4,59,60,成都
2017/5/31,154,117,207,14,1.5,55,40,成都
2017/6/1,177,134,219,17,1.5,68,43,成都
2017/6/2,230,180,292,18,1.8,62,23,成都
2017/6/3,185,139,216,14,1.4,60,28,成都
2017/6/4,205,155,239,20,1.5,53,19,成都
2017/6/5,205,155,246,13,1.6,50,41,成都
2017/6/6,221,171,264,19,1.6,70,31,成都
2017/6/7,150,115,176,18,1.8,55,17,成都
2017/6/8,76,56,98,13,0.9,51,53,成都
2017/6/9,96,72,131,16,1,52,40,成都
2017/6/10,97,73,113,9,1,46,34,成都
2017/6/11,116,88,135,13,1.2,51,25,成都
2017/6/12,125,95,146,8,1.2,51,24,成都
2017/6/13,159,121,182,15,1.3,47,25,成都
2017/6/14,137,105,162,19,1.5,57,35,成都
2017/6/15,247,197,288,26,2.2,75,18,成都
2017/6/16,234,184,266,29,1.9,78,13,成都
2017/6/17,259,209,305,27,2.1,75,11,成都
2017/6/18,150,115,165,17,1.4,61,57,成都
2017/6/19,214,164,252,28,1.7,71,37,成都
2017/6/20,98,73,111,17,1,46,53,成都
2017/6/21,178,135,208,27,1.5,63,27,成都
2017/6/22,216,166,247,26,1.7,71,54,成都
2017/6/23,212,162,251,21,2.1,78,83,成都
2017/6/24,238,188,293,29,2.3,90,49,成都
2017/6/25,251,201,326,35,2.4,96,30,成都
2017/6/26,209,159,254,33,1.9,83,29,成都
2017/6/27,213,163,261,28,2.1,79,42,成都
2017/6/28,189,142,218,31,1.8,63,26,成都
2017/6/29,180,136,219,25,1.8,60,23,成都
2017/6/30,43,26,43,7,1.4,30,30,成都
2017/7/1,58,40,65,10,1.4,44,31,成都
2017/7/2,83,61,101,17,1.3,46,34,成都
2017/7/3,61,44,63,7,1.1,31,33,成都
2017/7/4,68,49,66,6,1.2,36,10,成都
2017/7/5,88,65,93,14,1.5,46,14,成都
2017/7/6,105,79,119,17,1.5,50,44,成都
2017/7/7,116,88,136,19,1.5,52,72,成都
2017/7/8,113,86,130,19,1.2,52,74,成都
2017/7/9,151,116,170,23,1.4,60,51,成都
2017/7/10,114,86,123,20,1.3,46,72,成都
2017/7/11,118,90,141,15,1.3,55,46,成都
2017/7/12,177,134,199,31,1.6,58,33,成都
2017/7/13,196,147,209,21,1.6,64,47,成都
2017/7/14,188,142,198,17,1.5,57,84,成都
2017/7/15,194,146,217,18,2,76,104,成都
2017/7/16,207,157,223,14,1.9,76,91,成都
2017/7/17,221,171,224,20,1.8,73,109,成都
2017/7/18,172,130,201,16,1.7,67,88,成都
2017/7/19,90,65,130,10,1,46,99,成都
2017/7/20,121,92,155,14,1.2,42,121,成都
2017/7/21,116,88,132,13,1.2,33,101,成都
2017/7/22,156,120,157,23,1.3,25,80,成都
2017/7/23,69,51,70,11,1.4,27,61,成都
2017/7/24,89,66,85,10,1.6,39,59,成都
2017/7/25,53,37,57,6,0.9,17,78,成都
2017/7/26,43,29,43,8,0.9,18,60,成都
2017/7/27,57,40,53,9,1.1,27,54,成都
2017/7/28,46,31,46,8,1,30,83,成都
2017/7/29,55,35,59,9,1,38,54,成都
2017/7/30,54,38,59,8,1,33,34,成都
2017/7/31,43,22,43,9,1.1,26,53,成都
2017/8/1,68,42,87,7,1,35,84,成都
