city,AQI,PM2.5,PM10,CO,NO2,SO2,O3,lng,lat,timestamp,空气质量,省份,所属省份空气质量排名
辽阳,159,80,267,1.1,34,24,76,123.1724512,41.27333927,2023-02-28,中度污染,辽宁省,27
辽源,79,34,108,1.0,32,22,64,125.1336861,42.92330262,2023-02-28,良好,吉林省,23
临安,60,43,58,0.6,24,7,85,119.3648723,30.19589936,2023-02-28,良好,浙江省,4
临沧,57,40,59,0.7,8,5,90,100.0926129,23.8878061,2023-02-28,良好,云南省,6
临汾,94,70,105,0.8,40,11,67,111.5387876,36.09974544,2023-02-28,良好,山西省,29
临沂,87,61,123,0.7,26,13,82,118.3407682,35.07240907,2023-02-28,良好,山东省,21
柳州,68,49,73,0.7,18,9,67,109.4224018,24.32905335,2023-02-28,良好,广西壮族自治区,14
六安,55,39,53,0.7,16,7,76,116.5052527,31.75555836,2023-02-28,良好,安徽省,10
龙岩,55,36,60,0.6,29,15,68,117.0179967,25.07868543,2023-02-28,良好,福建省,2
娄底,53,37,54,0.4,22,15,88,111.9963964,27.7410733,2023-02-28,良好,湖南省,17
吕梁,159,121,0,0.8,38,11,38,111.1431566,37.5273161,2023-02-28,中度污染,山西省,29
洛阳,80,59,76,0.5,26,14,61,112.4475248,34.65736782,2023-02-28,良好,河南省,19
马鞍山,56,31,62,0.3,28,9,60,118.5158818,31.68852816,2023-02-28,良好,安徽省,10
茂名,36,15,36,0.6,13,3,77,110.9312453,21.66822572,2023-02-28,优级,广东省,9
梅州,59,14,67,0.5,12,16,82,116.1264031,24.30457061,2023-02-28,良好,广东省,9
绵阳,64,46,75,0.8,22,5,43,104.705519,31.50470126,2023-02-28,良好,四川省,13
牡丹江,25,14,25,0.6,22,11,76,129.6080354,44.58852115,2023-02-28,优级,黑龙江,18
南昌,26,18,19,0.4,11,10,83,115.8935275,28.689578,2023-02-28,优级,江西省,5
南充,68,49,77,0.4,40,10,32,106.105554,30.80096517,2023-02-28,良好,四川省,13
南京,44,19,44,0.5,18,9,90,118.7780744,32.0572355,2023-02-28,优级,江苏省,11
南宁,82,60,92,0.8,30,16,71,108.2972336,22.80649294,2023-02-28,良好,广西壮族自治区,14
南阳,79,51,108,0.5,27,10,93,112.5428419,33.01141957,2023-02-28,良好,河南省,19
内江,46,29,46,0.7,18,13,89,105.073056,29.59946153,2023-02-28,优级,四川省,13
宁波,36,16,36,0.3,17,7,86,121.579006,29.88525897,2023-02-28,优级,浙江省,4
宁德,22,8,22,0.5,4,3,59,119.5420821,26.65652742,2023-02-28,优级,福建省,2
攀枝花,80,50,110,0.9,50,17,26,101.7224232,26.58757126,2023-02-28,良好,四川省,13
盘锦,89,66,90,1.0,25,12,49,122.0732278,41.14124802,2023-02-28,良好,辽宁省,27
萍乡,52,36,41,0.6,2,10,90,113.859917,27.63954422,2023-02-28,良好,江西省,5
平顶山,85,63,103,1.1,34,30,59,113.300849,33.74530146,2023-02-28,良好,河南省,19
平凉,54,36,58,0.9,29,53,60,106.6889112,35.55011019,2023-02-28,良好,甘肃省,16
齐齐哈尔,56,30,62,0.4,13,8,86,123.9872889,47.34769981,2023-02-28,良好,黑龙江,18
钦州,67,48,83,0.7,22,14,79,108.6387981,21.97335047,2023-02-28,良好,广西壮族自治区,14
秦皇岛,163,124,136,0.8,34,19,47,119.6043676,39.94546157,2023-02-28,中度污染,河北省,25
青岛,104,78,124,1.0,44,0,81,120.3844282,36.1052149,2023-02-28,轻度污染,山东省,21
清远,68,31,85,0.5,13,10,118,113.0407733,23.69846855,2023-02-28,良好,广东省,9
曲靖,53,36,55,0.9,26,6,49,103.7825389,25.52075814,2023-02-28,良好,云南省,6
泉州,48,19,48,0.4,14,8,94,118.6003623,24.90165238,2023-02-28,优级,福建省,2
日喀则,193,145,154,1.0,23,4,39,88.95606277,29.26816003,2023-02-28,中度污染,西藏区,28
日照,108,81,119,0.8,31,24,78,119.5071799,35.42022519,2023-02-28,轻度污染,山东省,21
三门峡,64,44,78,0.4,23,8,82,111.1812621,34.78331994,2023-02-28,良好,河南省,19
